"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3MB8LZR5BFTMDAG4VO737MBDKGFKLU","A2U8IBLKZ3K6AY","Rejected","Sat Aug 03 05:03:39 PDT 2019","Sat Aug 03 05:12:02 PDT 2019","Tue Aug 06 05:12:02 PDT 2019","","Sat Aug 03 05:33:16 PDT 2019","Gave up after 15 rounds and just started clicking ""FALSE""","503","67% (2/3)","67% (2/3)","67% (2/3)","b3e066d0-9e59-4bff-bdca-4345fb123381"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3CPLWGV3MOZSKE0Y34WTU51MEH79NV","A3769L9B3L46US","Rejected","Sat Aug 03 07:13:14 PDT 2019","Sat Aug 03 07:21:17 PDT 2019","Tue Aug 06 07:21:17 PDT 2019","","Sat Aug 03 08:35:40 PDT 2019","Just clicked through in an unrealistic time. Clearly didn't read instructions to  understand what to do","483","50% (1/2)","50% (1/2)","50% (1/2)","60903706-86d5-40f3-be8c-6db234d973ff"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3XC1O3LBOSMLGT6RPXLV8DY93T3LTY","A23ONWDSVICDCY","Approved","Sat Aug 03 03:38:22 PDT 2019","Sat Aug 03 03:45:33 PDT 2019","Tue Aug 06 03:45:33 PDT 2019","Sat Aug 03 03:58:56 PDT 2019","","","431","100% (3/3)","100% (3/3)","100% (3/3)","d8d4e3be-e1ed-45d7-8028-3853ccbfe6b3"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3OHYZ19UGC5O7IAFWPA65PCBA9NOAX","A98E8M4QLI9RS","Approved","Sat Aug 03 03:37:49 PDT 2019","Sat Aug 03 03:46:13 PDT 2019","Tue Aug 06 03:46:13 PDT 2019","Sat Aug 03 03:56:00 PDT 2019","","","504","100% (2/2)","100% (2/2)","100% (2/2)","17ae48a7-4077-495e-ac6d-62d66332b40d"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3U088ZLJVKT0BELZV94NXDDK4PB0WV","A3I5PK0T80KGRJ","Approved","Sat Aug 03 03:39:01 PDT 2019","Sat Aug 03 03:46:51 PDT 2019","Tue Aug 06 03:46:51 PDT 2019","Sat Aug 03 03:58:56 PDT 2019","","","470","100% (2/2)","100% (2/2)","100% (2/2)","8d8b3329-24fd-44a3-a0a7-f8ca90552104"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","337RC3OW0520TLAGUSLA9VMU0EJLVE","A18WSAKX5YN2FB","Approved","Sat Aug 03 03:38:42 PDT 2019","Sat Aug 03 03:47:03 PDT 2019","Tue Aug 06 03:47:03 PDT 2019","Sat Aug 03 03:55:07 PDT 2019","","","501","100% (2/2)","100% (2/2)","100% (2/2)","a30023e6-fc80-4c01-aca9-d06538284f67"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","37M28K1J0QDA67JIGCI1XTVPBFDJA9","A3LPHYONE222OY","Approved","Sat Aug 03 03:37:15 PDT 2019","Sat Aug 03 03:47:40 PDT 2019","Tue Aug 06 03:47:40 PDT 2019","Sat Aug 03 03:55:07 PDT 2019","","","625","100% (2/2)","100% (2/2)","100% (2/2)","4896b70e-54c1-460d-9404-10c5fdfc9713"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3ZOTGHDK5IBS7EW9DPWXQP6HWFUOST","A1OZPLHNIU1519","Approved","Sat Aug 03 03:40:31 PDT 2019","Sat Aug 03 03:47:49 PDT 2019","Tue Aug 06 03:47:49 PDT 2019","Sat Aug 03 03:58:56 PDT 2019","","","438","100% (3/3)","100% (3/3)","100% (3/3)","2d4bd986-68ed-4b12-9e08-29a8802fd67b"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","3IOEN3P9S7J2OORB0AVJDOXHLFO613","AZIAQJWXTSFUX","Approved","Sat Aug 03 03:40:19 PDT 2019","Sat Aug 03 03:49:57 PDT 2019","Tue Aug 06 03:49:57 PDT 2019","Sat Aug 03 03:56:00 PDT 2019","","","578","100% (2/2)","100% (2/2)","100% (2/2)","48679f43-a3c1-4782-9558-1a975f909d9e"
"341YLJU21IZMK96EVDZKQQ23VQGI2T","34S6YYW6IUSPRRIPDARPF13JDKFSBA","Interactive verification of words","Written words require comparison to spoken words. The connection should be accepted if they match, declined if they don't.","survey, demographics, experiment, cryptography","$0.90","Sat Aug 03 03:36:26 PDT 2019","102","BatchId:3724994;OriginalHitTemplateId:920937340;","1200","259200","Sat Aug 10 03:36:26 PDT 2019","","","39K0FND3AHF07FP3J9VTDLN6F98MAG","A36O6HP64YFT2Y","Approved","Sat Aug 03 03:43:20 PDT 2019","Sat Aug 03 03:50:42 PDT 2019","Tue Aug 06 03:50:42 PDT 2019","Sat Aug 03 03:55:18 PDT 2019","","","442","100% (2/2)","100% (2/2)","100% (2/2)","5797db6d-0748-4387-803a-f6806791f7b5"
